#,Game,Release date,Price,Score rank(Userscore / Metascore),Owners,Players,Playtime (Median),Developer(s),Publisher(s),Genre
1037,Once in Yaissor,"Nov 9, 2016",$0.99,N/A (N/A),"500,000 .. 1,000,000",0%,00:00 (00:00),Valera Entertainment,Valera Entertainment,Visual Novel
1097,This Is the Police,"Aug 2, 2016",$14.99,N/A (N/A),"500,000 .. 1,000,000",0%,00:00 (00:00),Weappy Studio,THQ Nordic,Visual Novel
1098,Batman - The Telltale Series,"Aug 2, 2016",$14.99,N/A (N/A),"500,000 .. 1,000,000",0%,00:00 (00:00),Telltale,Telltale,Visual Novel
1102,A Detective's Novel,"Jul 28, 2016",$1.99,N/A (N/A),"500,000 .. 1,000,000",0%,00:00 (00:00),Amaterasu Software,Amaterasu Software,Visual Novel
1199,NEKOPARA Vol. 2,"Feb 19, 2016",$9.99,N/A (N/A),"500,000 .. 1,000,000",0%,00:00 (00:00),NEKO WORKs,Sekai Project,Visual Novel
1255,Sakura Swim Club,"Sep 11, 2015",$4.99,N/A (N/A),"500,000 .. 1,000,000",0%,00:00 (00:00),Winged Cloud,Winged Cloud,Visual Novel
1261,NEKOPARA Vol. 0,"Aug 17, 2015",$2.99,N/A (N/A),"500,000 .. 1,000,000",0%,00:00 (00:00),NEKO WORKs,Sekai Project,Visual Novel
1320,NEKOPARA Vol. 1,"Dec 29, 2014",$9.99,N/A (N/A),"500,000 .. 1,000,000",0%,00:00 (00:00),NEKO WORKs,Sekai Project,Visual Novel
2,Night in the Woods,"Feb 21, 2017",$19.99,N/A (N/A/88%),"200,000 .. 500,000",0%,00:00 (00:00),Infinite Fall,Finji,Visual Novel
4,Zero Escape: The Nonary Games,"Mar 24, 2017",$29.99,N/A (N/A/86%),"200,000 .. 500,000",0%,00:00 (00:00),"Spike Chunsoft Co., Ltd.","Spike Chunsoft Co., Ltd.",Visual Novel
8,GUILTY GEAR Xrd -SIGN-,"Dec 9, 2015",$29.99,N/A (N/A/84%),"200,000 .. 500,000",0%,00:00 (00:00),Arc System Works,Arc System Works,Visual Novel
10,Subsurface Circular,"Aug 17, 2017",$5.99,N/A (N/A/83%),"200,000 .. 500,000",0%,00:00 (00:00),Bithell Games,Bithell Games,Visual Novel
13,CLANNAD,"Nov 23, 2015",$44.99,N/A (N/A/83%),"200,000 .. 500,000",0%,00:00 (00:00),VisualArts/Key,Sekai Project,Visual Novel
17,Emily is Away Too,"May 26, 2017",$4.99,N/A (N/A/81%),"200,000 .. 500,000",0%,00:00 (00:00),Kyle Seeley,Kyle Seeley,Visual Novel
19,Kentucky Route Zero: PC Edition,"Feb 22, 2013",$24.99,N/A (N/A/81%),"200,000 .. 500,000",0%,00:00 (00:00),Cardboard Computer,Cardboard Computer,Visual Novel
22,The Red Strings Club,"Jan 22, 2018",$3.74,N/A (N/A/80%),"200,000 .. 500,000",0%,00:00 (00:00),Deconstructeam,Devolver Digital,Visual Novel
24,The Legend of Heroes: Trails of Cold Steel,"Aug 2, 2017",$39.99,N/A (N/A/80%),"200,000 .. 500,000",0%,00:00 (00:00),Nihon Falcom,"XSEED Games, Marvelous USA, Inc.",Visual Novel
25,2064: Read Only Memories,"Oct 6, 2015",$9.99,N/A (N/A/80%),"200,000 .. 500,000",0%,00:00 (00:00),"MidBoss, LLC.",Chorus Worldwide Games,Visual Novel
27,Batman: The Enemy Within - The Telltale Series,"Aug 8, 2017",$14.99,N/A (N/A/79%),"200,000 .. 500,000",0%,00:00 (00:00),Telltale,Telltale,Visual Novel
31,Ken Follett's The Pillars of the Earth,"Aug 15, 2017",$19.99,N/A (N/A/78%),"200,000 .. 500,000",0%,00:00 (00:00),Daedalic Entertainment,Daedalic Entertainment,Visual Novel
49,We. The Revolution,"Mar 21, 2019",$19.99,N/A (N/A/75%),"200,000 .. 500,000",0%,00:00 (00:00),Polyslash,Klabater,Visual Novel
52,Orwell: Ignorance is Strength,"Feb 22, 2018",$9.99,N/A (N/A/74%),"200,000 .. 500,000",0%,00:00 (00:00),Osmotic Studios,Fellow Traveller,Visual Novel
54,Virginia,"Sep 22, 2016",$9.99,N/A (N/A/74%),"200,000 .. 500,000",0%,00:00 (00:00),Variable State,505 Games,Visual Novel
58,Always Sometimes Monsters,"May 21, 2014",$0.99,N/A (N/A/73%),"200,000 .. 500,000",0%,00:00 (00:00),Vagabond Dog,Vagabond Dog,Visual Novel
72,Hatoful Boyfriend,"Sep 4, 2014",$9.99,N/A (N/A/68%),"200,000 .. 500,000",0%,00:00 (00:00),"Mediatonic, Hato Moa",Epic Games,Visual Novel
76,Long Live The Queen,"Nov 8, 2013",$9.99,N/A (N/A/67%),"200,000 .. 500,000",0%,00:00 (00:00),Hanako Games,Hanako Games,Visual Novel
79,Fairy Fencer F,"Aug 4, 2015",$9.99,N/A (N/A/66%),"200,000 .. 500,000",0%,00:00 (00:00),"Idea Factory, Compile Heart",Idea Factory International,Visual Novel
80,A Bird Story,"Nov 7, 2014",$3.99,N/A (N/A/66%),"200,000 .. 500,000",0%,00:00 (00:00),Freebird Games,Freebird Games,Visual Novel
154,TREE,"Aug 13, 2018",Free,N/A (N/A),"200,000 .. 500,000",0%,00:00 (00:00),The Strangers,The Strangers,Visual Novel
200,家有大貓 Nekojishi,"Nov 12, 2017",Free,N/A (N/A),"200,000 .. 500,000",0%,00:00 (00:00),"Studio Klondike, Team Nekojishi","Studio Klondike, Orange Juice Dog",Visual Novel
218,"Kid,napper: Gosh, I'm Kidnapped by a Pupil","Jun 1, 2017",Free,N/A (N/A),"200,000 .. 500,000",0%,00:00 (00:00),Catnip,Catnip,Visual Novel
221,Confess My Love,"May 20, 2017",Free,N/A (N/A),"200,000 .. 500,000",0%,00:00 (00:00),LR Studio,LR Studio,Visual Novel
223,Metal Waltz: Anime tank girls,"Apr 19, 2017",Free,N/A (N/A),"200,000 .. 500,000",0%,00:00 (00:00),WuL Game Studio,WuL Game Studio,Visual Novel
225,Cinderella Phenomenon - Otome/Visual Novel,"Apr 5, 2017",Free,N/A (N/A),"200,000 .. 500,000",0%,00:00 (00:00),Dicesuki,Dicesuki,Visual Novel
237,Trick and Treat - Visual Novel,"Dec 30, 2016",Free,N/A (N/A),"200,000 .. 500,000",0%,00:00 (00:00),Eternal Night Studios,"Alberto Herrera, Ziel Graywords, Stw projects",Visual Novel
246,Disturbed,"Oct 3, 2016",Free,N/A (N/A),"200,000 .. 500,000",0%,00:00 (00:00),iBlackpen,iBlackpen,Visual Novel
250,PRICE,"Sep 15, 2016",Free,N/A (N/A),"200,000 .. 500,000",0%,00:00 (00:00),YETU GAME,YETU GAME,Visual Novel
255,ChuSingura46+1 S,"Jun 21, 2016",Free,N/A (N/A),"200,000 .. 500,000",0%,00:00 (00:00),"インレ, Inre",NextNinja,Visual Novel
257,NEKOPALIVE,"May 31, 2016",,N/A (N/A),"200,000 .. 500,000",0%,00:00 (00:00),NEKO WORKs,Sekai Project,Visual Novel
260,The Panic Room,"Apr 27, 2016",Free,N/A (N/A),"200,000 .. 500,000",0%,00:00 (00:00),GameXP.com,GameXP.com,Visual Novel
278,Carpe Diem,"Nov 30, 2015",Free,N/A (N/A),"200,000 .. 500,000",0%,00:00 (00:00),Moonlit Works,Moonlit Works,Visual Novel
285,Higurashi When They Cry Hou - Ch.1 Onikakushi,"May 15, 2015",Free,N/A (N/A),"200,000 .. 500,000",0%,00:00 (00:00),07th Expansion,MangaGamer,Visual Novel
290,Seduce Me the Otome,"Feb 12, 2015",Free,N/A (N/A),"200,000 .. 500,000",0%,00:00 (00:00),Michaela Laws,Michaela Laws,Visual Novel
296,Depression Quest,"Aug 11, 2014",,N/A (N/A),"200,000 .. 500,000",0%,00:00 (00:00),"The Quinnspiracy, Patrick Lindsey, Isaac Schankler",The Quinnspiracy,Visual Novel
303,Narcissu 1st & 2nd,"May 15, 2007",Free,N/A (N/A),"200,000 .. 500,000",0%,00:00 (00:00),stage-nana,Sekai Project,Visual Novel
330,Seek Girl,"Mar 14, 2019",Free,N/A (N/A),"200,000 .. 500,000",0%,00:00 (00:00),DSGame,DSGame,Visual Novel
419,MUSYNX,"Dec 4, 2018",$3.99,N/A (N/A),"200,000 .. 500,000",0%,00:00 (00:00),I-Inferno,Wave Game,Visual Novel
526,UNDER NIGHT IN-BIRTH Exe:Late[cl-r],"Aug 20, 2018",$24.99,N/A (N/A),"200,000 .. 500,000",0%,00:00 (00:00),FRENCH-BREAD,Arc System Works,Visual Novel
549,NEKOPARA Extra,"Jul 26, 2018",$4.99,N/A (N/A),"200,000 .. 500,000",0%,00:00 (00:00),NEKO WORKs,Sekai Project,Visual Novel
611,Fox Hime Zero,"May 23, 2018",$0.59,N/A (N/A),"200,000 .. 500,000",0%,00:00 (00:00),AsicxArt,SakuraGame,Visual Novel
806,Sword Art Online: Hollow Realization Deluxe Edition,"Oct 27, 2017",$49.99,N/A (N/A),"200,000 .. 500,000",0%,00:00 (00:00),AQURIA,BANDAI NAMCO Entertainment,Visual Novel
807,SIMULACRA,"Oct 26, 2017",$4.99,N/A (N/A),"200,000 .. 500,000",0%,00:00 (00:00),Kaigan Games OÜ,"Kaigan Games OÜ, Neon Doctrine",Visual Novel
814,King Exit,"Oct 19, 2017",,N/A (N/A),"200,000 .. 500,000",0%,00:00 (00:00),深爪貴族,Paradise Project,Visual Novel
818,Otaku's Fantasy,"Oct 11, 2017",,N/A (N/A),"200,000 .. 500,000",0%,00:00 (00:00),Dieselmine,Paradise Project,Visual Novel
835,Killing Time,"Sep 20, 2017",,N/A (N/A),"200,000 .. 500,000",0%,00:00 (00:00),ONEONE1,Paradise Project,Visual Novel
865,The Heiress,"Aug 11, 2017",,N/A (N/A),"200,000 .. 500,000",0%,00:00 (00:00),ONEONE1,Paradise Project,Visual Novel
901,Danganronpa Another Episode: Ultra Despair Girls,"Jun 27, 2017",$29.99,N/A (N/A),"200,000 .. 500,000",0%,00:00 (00:00),"Spike Chunsoft Co., Ltd.","Spike Chunsoft Co., Ltd.",Visual Novel
917,NEKOPARA Vol. 3,"May 25, 2017",$9.99,N/A (N/A),"200,000 .. 500,000",0%,00:00 (00:00),NEKO WORKs,Sekai Project,Visual Novel
938,BlazBlue Centralfiction,"Apr 25, 2017",$39.99,N/A (N/A),"200,000 .. 500,000",0%,00:00 (00:00),Arc System Works,"H2 Interactive Co., Ltd.",Visual Novel
971,Another Adventure,"Mar 10, 2017",$1.99,N/A (N/A),"200,000 .. 500,000",0%,00:00 (00:00),ThankCreate Studio,"ThankCreate Studio, WhisperGames",Visual Novel
985,Fairy Fencer F Advent Dark Force,"Feb 14, 2017",$19.99,N/A (N/A),"200,000 .. 500,000",0%,00:00 (00:00),"IDEA FACTORY, COMPILE HEART",Idea Factory International,Visual Novel
1075,Sixtieth Kilometer,"Aug 25, 2016",$4.99,N/A (N/A),"200,000 .. 500,000",0%,00:00 (00:00),Talentplace,KishMish Games,Visual Novel
1090,Super Star,"Aug 11, 2016",,N/A (N/A),"200,000 .. 500,000",0%,00:00 (00:00),Dream Works,Paradise Project,Visual Novel
1117,Megadimension Neptunia VII,"Jul 5, 2016",$19.99,N/A (N/A),"200,000 .. 500,000",0%,00:00 (00:00),"Idea Factory, Compile Heart",Idea Factory International,Visual Novel
1139,Sakura Dungeon,"Jun 3, 2016",$9.99,N/A (N/A),"200,000 .. 500,000",0%,00:00 (00:00),Winged Cloud,Winged Cloud,Visual Novel
1146,35MM,"May 27, 2016",$8.99,N/A (N/A),"200,000 .. 500,000",0%,00:00 (00:00),Носков Сергей,Носков Сергей,Visual Novel
