#,Game,Release date,Price,Score rank(Userscore / Metascore),Owners,Players,Playtime (Median),Developer(s),Publisher(s),Genre
901,VALENS,"Feb 18, 2016",$7.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Digitallion,Digitallion,Racing
907,Ultimate Rock Crawler,"Jan 25, 2016",Free,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),khos85,khos85,Racing
908,O3DX,"Jan 22, 2016",$7.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Egamea Game Studios,Egamea Game Studios,Racing
911,MicroRC Simulation,"Dec 15, 2015",$1.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Minindustries Game Factory,Minindustries Game Factory,Racing
912,Nulldrifters,"Dec 14, 2015",$1.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Cliax Games,Cliax Games,Racing
914,Dexterity Ball 3D,"Dec 7, 2015",$6.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Quandary Solutions LTD,Quandary Solutions LTD,Racing
923,Poppy Kart,"Oct 9, 2015",$4.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),"Stephane Graziano, Franck Graziano, Mathieu Lamarche",Webrox,Racing
925,Hypership Out of Control,"Sep 29, 2015",$1.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Fun Infused Games,Fun Infused Games,Racing
926,My Paper Boat,"Sep 23, 2015",Free,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),TML-Studios,Aerosoft GmbH,Racing
927,Impulse Revolution,"Sep 9, 2015",$6.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Mandlebar,Mandlebar,Racing
928,Mad Snowboarding,"Sep 8, 2015",$4.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Denis Lapiner,Denis Lapiner,Racing
929,MadOut Ice Storm,"Sep 4, 2015",$6.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),"Nuligine, MadOut Games","Nuligine, MadOut Games",Racing
931,Giana Sisters: Dream Runners,"Aug 26, 2015",$9.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Black Forest Games,EuroVideo Medien,Racing
932,Link: The Unleashed Nexus,"Aug 21, 2015",$9.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Reminisce,Reminisce,Racing
933,Trucker 2,"Aug 14, 2015",$2.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Silden,Play Publishing,Racing
934,TNN Motorsports Hardcore TR,"Aug 10, 2015",,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),ASC Games,Console Classics,Racing
935,Deserter Simulator,"Jul 30, 2015",,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Pocket Queries,Zoo Corporation,Racing
938,Assault Corps 2,"Jul 16, 2015",$2.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),AOS GAME,AOS GAME,Racing
939,DRIFT 84,"Jul 14, 2015",$2.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Reventador Games,Reventador Games,Racing
940,Spectra,"Jul 10, 2015",$7.49,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Gateway Interactive,Mastertronic,Racing
943,Hello Kitty and Sanrio Friends Racing,"Jul 9, 2015",$19.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Scarab Entertainment,Scarab Entertainment,Racing
946,Flight Unlimited Las Vegas,"Jul 6, 2015",$2.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Flight Systems LLC,Flight Systems LLC,Racing
948,Buggy,"Jul 6, 2015",,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Urbanscan,Console Classics,Racing
949,MiniOne Racing,"Dec 16, 2008",$4.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Frogames,Frogames,Racing
950,SHOFER Race Driver,"Jun 30, 2015",$8.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Zhoori Maang Entertainment,Zhoori Maang Entertainment,Racing
951,N2O: Nitrous Oxide,"Jun 29, 2015",,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Urbanscan,Console Classics,Racing
953,MadOut,"Jun 6, 2015",$9.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),"Nuligine, MadOut Games","Nuligine, MadOut Games",Racing
954,Spheritis,"Jun 4, 2015",$4.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Bluestrike,Bluestrike,Racing
955,Tile Rider,"Jun 4, 2015",$3.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),7 Soft Pillows,7 Soft Pillows,Racing
959,CHARIOT WARS,"May 25, 2015",$6.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),OM ENTERTAINMENT,OM ENTERTAINMENT,Racing
962,D Series OFF ROAD Driving Simulation,"May 19, 2015",$7.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),devotid,devotid Media,Racing
963,Rktcr,"May 12, 2015",$4.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),TCHOW,TCHOW,Racing
966,Extreme Formula Championship,"May 4, 2015",$6.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Yash Future Tech Solutions Pvt Ltd,Yash Future Tech Solutions Pvt Ltd,Racing
969,Fermi's Path,"Apr 20, 2015",$8.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),GameArt Studio GmbH,GameArt Studio GmbH,Racing
971,Aquadelic GT,"Mar 25, 2015",$4.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),"Hammerware, s.r.o.","Hammerware, s.r.o.",Racing
973,Corona MotorSport,"Mar 13, 2015",$9.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),LucasGame,LucasGame,Racing
976,SuperBike TT,"Feb 25, 2015",$12.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Ghost Machine,Ghost Machine,Racing
978,Disney•Pixar Cars: Radiator Springs Adventures,"Jun 6, 2006",$19.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),AWE Games,Disney,Racing
979,Janky Tanks,"Feb 12, 2015",$4.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Hyper Hippo Games,Hyper Hippo Games,Racing
980,Musclecar Online,"Feb 12, 2015",$5.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Psychic Software,Psychic Software,Racing
984,Motorbike,"May 9, 2011",$24.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),baKno Games,baKno Games,Racing
985,Goscurry,"Jan 16, 2015",$4.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),"Demigiant, Isak J Martinsson",Demigiant,Racing
986,MotorSport Revolution,"Jan 15, 2015",$14.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Ghost Machine,Ghost Machine,Racing
987,Crash And Burn Racing,"Dec 9, 2014",$2.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Lunagames,Libredia,Racing
997,StuntMANIA Reloaded,"Nov 13, 2014",$4.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Sector3 Games,Bigger Boat,Racing
999,Space Warp,"Nov 4, 2014",$4.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Mind Crew,Mind Crew,Racing
1000,Tail Drift,"Oct 29, 2014",$2.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Attract Mode Games,Blocky Pixel,Racing
1001,Speed Car Fighter,"Oct 24, 2014",$9.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Yash Future Tech Solutions Pvt Ltd,Yash Future Tech Solutions Pvt Ltd,Racing
1002,Redline,"Jan 1, 1999",$6.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),"Accolade, Inc.","Atari, Nightdive Studios",Racing
1003,Disney•Pixar Cars Toon: Mater's Tall Tales,"Oct 19, 2010",$19.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Papaya Studio,Disney,Racing
1006,Disney Planes,"Aug 6, 2013",$19.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Behaviour Interactive,Disney,Racing
1015,HTR+ Slot Car Simulation,"May 29, 2014",$6.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),QUByte Interactive,Libredia Entertainment,Racing
1017,Rage Runner,"May 16, 2014",$0.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Hypercane Studios,Plug In Digital,Racing
1028,Calibre 10 Racing,"Mar 26, 2014",$1.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Bongfish GmbH,Bongfish GmbH,Racing
1029,Sledgehammer / Gear Grinder,"Apr 10, 2008",$7.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Targem Games,ESDigital Games,Racing
1043,Zombie Derby,"May 13, 2013",$3.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Brinemedia,Brinemedia,Racing
1044,Duck Life 4,"Mar 8, 2013",$3.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Wix Games,MoFunZone Inc,Racing
1047,KRUNCH,"Dec 21, 2012",$9.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),LeGrudge & Rugged,LeGrudge & Rugged,Racing
1051,GTR - FIA GT Racing Game,"Sep 25, 2012",$6.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),SimBin Studios AB,SimBin,Racing
1056,Smash Cars,"Oct 18, 2011",$9.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Creat Studios Inc,Pom Pom Games,Racing
1060,Redneck Racers,"Dec 10, 2010",$1.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),"Play, Silden",Libredia,Racing
1068,Monster Trucks Nitro,"Jan 29, 2009",$19.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Redlynx Ltd,Miniclip.com,Racing
1069,Pyroblazer,"Nov 13, 2008",$4.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Eipix,Candella Systems Ltd,Racing
1072,Midnight Outlaw: 6 Hours to SunUp,"Jul 2, 2005",$9.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),"Merscom, Babylon",Cosmi Valusoft,Racing
1076,Die drei Freunde von der Reitschule,"Oct 15, 2007",$2.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Caipirinha Games GmbH,ShareX Team,Racing
1077,RACE: Caterham Expansion,"Jun 22, 2007",$4.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),SimBin,SimBin,Racing
1078,Chromadrome 2,"Apr 9, 2007",$2.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Alpha72 Games,Alpha72 Games,Racing
1080,Reiterland - Meine Rennpferde,"Dec 1, 2006",$2.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Caipirinha Games GmbH,Techland,Racing
1081,RACE - The WTCC Game,"Nov 24, 2006",$39.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),SimBin,SimBin,Racing
1083,Big Mutha Truckers 2,"Aug 23, 2005",$9.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Strategy First,Strategy First,Racing
1085,MegaRace 3,"Jan 9, 2002",$2.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),"Cryo Interactive, Jordan Freeman Group",Microids,Racing
1086,Elasto Mania Remastered,"Feb 1, 2000",$9.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),"Elasto Mania Team, Balazs Rozsa",Elasto Mania Team,Racing
1088,Powerslide,"Dec 7, 1998",$6.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Ratbag Games,Cosmi Valusoft,Racing
1089,DethKarz,"Nov 6, 1998",$6.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Beam Software,Ziggurat,Racing
1090,Motorhead,"Sep 30, 1998",,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Urbanscan,Console Classics,Racing
1091,Have a N.I.C.E day!,"Sep 30, 1997",$9.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Synetic GmbH,UniqueGames Publishing GmbH,Racing
1093,Action SuperCross,"Feb 11, 1997",$2.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),"Elasto Mania Team, Balazs Rozsa",Elasto Mania Team,Racing
1095,Nitro Racers,"Jan 1, 1997",$6.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Torc Interactive,Ziggurat,Racing
1096,Screamer,"Oct 31, 1995",$9.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Graffiti,Interplay,Racing
1099,The Games: Winter Edition,"Nov 1, 1988",$3.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),"Epyx, Inc.",Pixel Games UK,Racing
