#,Game,Release date,Price,Score rank(Userscore / Metascore),Owners,Players,Playtime (Median),Developer(s),Publisher(s),Genre
547,Arcane Golf,"Jul 26, 2018",$2.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),"FromLefcourt, thatgregperkins","FromLefcourt, thatgregperkins",Sports
548,Extreme Drifters,"Jul 25, 2018",,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Burning Asphalt Group,Burning Asphalt Group,Sports
549,Car Crash Online,"Jul 25, 2018",$4.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Smartmove,Smartmove,Sports
550,Draft Day Sports: Pro Golf,"Jul 24, 2018",$9.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Wolverine Studios,Wolverine Studios,Sports
551,ParkourMan,"Jul 24, 2018",$1.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Fury Games Production,Fury Games Production,Sports
552,Country Park,"Jul 23, 2018",$2.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),FG,FG,Sports
553,Tennis Arcade VR,"Jul 20, 2018",$9.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),"ITC Studio, Software Wolf","Software Wolf, ITC Studio",Sports
554,Pac Adventures 3D,"Dec 15, 2019",$1.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),ThankGame.com,ThankGame.com,Sports
555,HyperBowl,"Jul 1, 2018",$0.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Technicat LLC,Technicat LLC,Sports
556,Sausage Sports Club,"Jul 19, 2018",$14.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Luckshot Games,Luckshot Games,Sports
559,EreaDrone 2018,"Jul 17, 2018",,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),"EreaDrone, EreaStudio, Elouan Jorrand",EreaDrone,Sports
560,Summer: Jigsaw Puzzles,"Jul 17, 2018",$0.67,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Myarcadegames Studios,Myarcadegames Studios,Sports
561,RC Simulation 2.0,"Jul 16, 2018",$14.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),devotid,devotid Media,Sports
564,Cricket Captain 2018,"Jul 13, 2018",$9.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Childish Things Ltd,Childish Things Ltd,Sports
565,Fancy Skiing 2: Online,"Jul 13, 2018",$11.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),哈视奇科技,哈视奇科技,Sports
566,Ball Grabbers,"Jul 12, 2018",$0.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Part Time Monkey,Part Time Monkey,Sports
568,Harpoon Cat,"Jul 11, 2018",$2.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Fury Games Production,Fury Games Production,Sports
569,Garage Master 2018,"Jul 12, 2018",$3.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Fury Games Production,Fury Games Production,Sports
570,World of Virtual Reality VR,"May 11, 2019",$1.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),"Shadowless Gaming, Tamer Gölgesiz","Shadowless Gaming, Tamer Gölgesiz",Sports
571,Draft Day Sports: College Football 2018,"Dec 22, 2017",$4.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Wolverine Studios,Wolverine Studios,Sports
572,Business Tycoon Billionaire,"Jul 5, 2018",$0.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Boogygames Studios,Boogygames Studios,Sports
573,Cabins: Jigsaw Puzzles,"Jul 5, 2018",$0.55,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Boogygames Studios,Boogygames Studios,Sports
574,Police Air Transporter,"Jul 5, 2018",$1.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Fury Games Production,Fury Games Production,Sports
575,UniteStar,"Jun 3, 2018",$1.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),SweetApple,SteamWork,Sports
576,DDS (D.I.Y Drone Simulator),"Jun 14, 2018",$16.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Juicy Lab,Juicy Lab,Sports
578,Muay Thai Fighting,"Jun 29, 2018",,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Real Fighting,Real Fighting,Sports
580,Crazy Soccer: Football Stars,"Jun 28, 2018",$9.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),HeroLabs,HeroLabs,Sports
581,Paintball 707,"Jun 27, 2018",$5.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Lotte|EoD,Agger Interactive,Sports
582,BIG POGO MAN,"Jun 25, 2018",$4.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),WooJuDev,WooJuDev,Sports
583,Dust n Wheels,"Jun 22, 2018",$11.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Kiwa Games,Kiwa Games,Sports
584,Social Club VR : Casino Nights,"Jun 21, 2018",$19.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Perilous Orbit,Perilous Orbit,Sports
585,HUNTER BRICK BALL,"Jul 1, 2019",$1.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),meokigame,meokigame,Sports
586,Magic Chess,"Jun 20, 2018",,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),One Tap Games,One Tap Games,Sports
589,Mad Dojo,"Jun 15, 2018",$3.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),phime studio LLC,phime studio LLC,Sports
590,Amaze Bowl,"Jun 15, 2018",$0.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),"OffWorld Laboratories, Protovate",OffWorld Laboratories,Sports
591,Turbo Soccer VR,"Jun 14, 2018",$9.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Dodo4Story Games,Dodo4Story Games,Sports
592,Footy Ball Tournament 2018,"Jun 14, 2018",$4.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Heroic Games Studio,Heroic Games Studio,Sports
593,Paris: Jigsaw Puzzles,"Jun 13, 2018",$0.55,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Boogygames Studios,Boogygames Studios,Sports
595,Wheelchair Simulator,"Jun 12, 2018",$4.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),ViRa Games,ViRa Games,Sports
596,Master Pyrox Wizard Smackdown,"Jun 9, 2018",Free,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),"Denis Comtesse, Sox Brooker, Lauren Davidson",Dropped Monocle Games,Sports
597,The Karters,"Jun 7, 2018",,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Pixel Edge Games,Pixel Edge Games,Sports
598,Football Nation VR Tournament 2018,"Jun 7, 2018",$14.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Cherry Pop Games,Cherry Pop Games,Sports
601,USA 2020,"Jun 2, 2018",$1.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),GAMES FOR HUMANS,GAMES FOR HUMANS,Sports
603,Wrestlers Without Boundaries,"May 30, 2018",,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Real Fighting,Real Fighting,Sports
606,Nothin' But Net,"May 28, 2018",$4.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),"What Up Games, LLC","What Up Games, LLC",Sports
607,Kingdom Watcher,"May 28, 2018",$2.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Subdream Studios,Subdream Studios,Sports
609,Super Sportmatchen,"May 23, 2018",$14.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Kaj Forell Video Game Brand,DANGEN Entertainment,Sports
610,Castle: Jigsaw Puzzles,"May 23, 2018",$0.55,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Boogygames Studios,Boogygames Studios,Sports
611,❂ Hexaluga ❂ Dungeons and Hunting ☠,"May 22, 2018",$9.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),"Hede, Hexaluga mines",Hede,Sports
612,gRally,"May 21, 2018",,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),ghiboz,ghiboz,Sports
613,VTree Beach Volleyball,"May 19, 2018",$1.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),VTree LLC,VTree LLC,Sports
614,RECOIL,"May 15, 2018",$1.5,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),AHui.Game,AHui.Game,Sports
616,Wolf Balls,"May 17, 2018",$1.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),N.R. Burnette,N.R. Burnette,Sports
617,GOLFY GOLF,"May 16, 2018",$6.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Yah Man Games,Yah Man Games,Sports
618,Floor Kids,"May 16, 2018",$19.9,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),MERJ Media,MERJ Media,Sports
620,Casual Penalty,"May 16, 2018",$0.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),CasGames,CasGames,Sports
623,Shooting Sports Gun Club,"May 15, 2018",$19.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),"Smart Integrations, LLC","Smart Integrations, LLC",Sports
624,I Pay No Rent,"May 15, 2018",$3.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),L&L Partner,L&L Technology,Sports
625,❂ Hexaluga ❂ Weapon and Shield ☯,"May 14, 2018",$9.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),"Hede, Hexaluga mines",Hede,Sports
626,Simple Sailing,"May 11, 2018",$0.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Racing Bros,ANPA.US,Sports
627,VR Darts,"May 9, 2018",,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Hypersome Games,Hypersome Games,Sports
628,RPGolf,"May 9, 2018",$3.99,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),ArticNet,Chorus Worldwide Games,Sports
630,Curling World Cup,"May 7, 2018",,N/A (N/A),"0 .. 20,000",0%,00:00 (00:00),Simulators Live,Simulators Live,Sports
